date,close,logp,bde,csw_excess,sadf,qadf,cadf,smt,bde_retro_flag,csw_retro_flag,sadf_retro_flag,smt_retro_flag,family_count_retro,consensus_retro,bde_online_flag,csw_online_flag,sadf_online_flag,smt_online_flag,family_count_online,consensus_online
2025-07-29,43.485,3.7724160510417284,1.514402658219536,-1.8678919874856255,-2.0197762936409935,-2.0197762936409935,-2.0197762936409935,1.137998544088376,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-30,42.221,3.742917727596808,1.2869211644580183,-1.439985728610562,-2.1043539888805496,-2.109684316204637,-2.1043539888805496,1.1186716537038013,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-31,40.826,3.7093191333513924,0.9958176437966074,-1.2316400903308458,-2.069260654175565,-2.0789695986706698,-2.069260654175565,1.0763134295540044,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01,37.613,3.627349735320781,0.5460945534464623,-0.22378587482969947,-1.768122730846029,-1.8105369448221502,-1.768122730846029,0.9727090028742242,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-02,36.896,3.6081031440866487,0.13103167661115586,-0.50923692553861,-1.7262290864131369,-1.7339648261648977,-1.7262290864131369,0.8726299080323736,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-03,38.18,3.6423118182976015,-0.15027715788909535,-1.1160412926298318,-1.8173242810154768,-1.8273082243160073,-1.8173242810154768,0.8117409733416336,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-04,38.804,3.658523334099037,-0.36655636077678383,-1.4215574687605437,-1.8528691385628693,-1.865067853678937,-1.8528691385628693,0.767239293773857,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-05,38.497,3.6505803161797337,-0.5725064186656535,-1.4545262899238474,-1.8542491263411238,-1.8682988836909786,-1.8542491263411238,0.7230323320967579,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06,38.079,3.63966294907415,-0.773524447942264,-1.4514692193201228,-1.8475793809212937,-1.8633012489844403,-1.8475793809212937,0.6778022900834011,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07,40.897,3.711056710725288,-0.8354117724723706,-0.4454444350849216,-1.9401942375039096,-1.9592587284784384,-1.9401942375039096,0.6672558078714742,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-08,40.992,3.7133769257143237,-0.8891629512333854,-1.0511049457256025,-1.8847501081835099,-1.919593563201552,-1.8847501081835099,0.6580309502861209,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-09,43.666,3.776569767240925,-0.837928518766437,-0.5092949016381731,-1.7466095495987808,-1.806111776959463,-1.7466095495987808,0.6700674009192648,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-10,45.269,3.812622471519769,-0.7346332093951853,-0.388322205362031,-1.6264054193275697,-1.6412302627914088,-1.6264054193275697,0.6912100784444489,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-11,43.167,3.76507631444939,-0.7178093848671786,-1.0152496010905145,-1.7577769960449663,-1.77759828882236,-1.7577769960449663,0.698172277637336,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-12,44.725,3.800532629394783,-0.6472937725308199,-0.9649445287412617,-1.6710929094388958,-1.6832940540239498,-1.6710929094388958,0.7149322010746894,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-13,47.631,3.8634838097634843,-0.4833782012085878,-0.5613730068782117,-1.3928319997808785,-1.4298922223310049,-1.3928319997808785,0.7449547054398434,0,0,0,0,0,0,0,0,0,0,0,0
