date,close,return,momentum_20d_positive,pos_BuyHold,ret_BuyHold,equity_BuyHold,event_BDE,pos_BDE,ret_BDE,equity_BDE,event_CSW,pos_CSW,ret_CSW,equity_CSW,event_SADF,pos_SADF,ret_SADF,equity_SADF,event_QADF,pos_QADF,ret_QADF,equity_QADF,event_CADF,pos_CADF,ret_CADF,equity_CADF,event_SMT,pos_SMT,ret_SMT,equity_SMT,event_Consensus,pos_Consensus,ret_Consensus,equity_Consensus
2024-09-20,146.66,0.02638393169570996,True,1.0,0.02638393169570996,44.4626345308473,0,0.0,0.0,19.26316836489613,0,0.0,0.0,37.50815585449176,0,0.0,0.0,4.804982754631141,0,0.0,0.0,4.195624199572006,0,0.0,0.0,3.3571844387906635,0,0.0,0.0,4.105923174275824,0,0.0,0.0,35.56849332203403
2024-09-21,149.41,0.01875085231146878,True,1.0,0.01875085231146878,45.296346824314035,0,0.0,0.0,19.26316836489613,0,0.0,0.0,37.50815585449176,0,0.0,0.0,4.804982754631141,0,0.0,0.0,4.195624199572006,0,0.0,0.0,3.3571844387906635,0,0.0,0.0,4.105923174275824,0,0.0,0.0,35.56849332203403
2024-09-22,144.63,-0.03199250384847063,True,1.0,-0.03199250384847063,43.84720327421551,0,0.0,-0.0,19.26316836489613,0,0.0,-0.0,37.50815585449176,0,0.0,-0.0,4.804982754631141,0,0.0,-0.0,4.195624199572006,0,0.0,-0.0,3.3571844387906635,0,0.0,-0.0,4.105923174275824,0,0.0,-0.0,35.56849332203403
2024-09-23,144.79,0.001106271174721618,True,1.0,0.001106271174721618,43.895710171289934,0,0.0,0.0,19.26316836489613,0,0.0,0.0,37.50815585449176,0,0.0,0.0,4.804982754631141,0,0.0,0.0,4.195624199572006,0,0.0,0.0,3.3571844387906635,0,0.0,0.0,4.105923174275824,0,0.0,0.0,35.56849332203403
2024-09-24,152.73,0.05483804130119485,True,1.0,0.05483804130119485,46.30286493860841,0,0.0,0.0,19.26316836489613,0,0.0,0.0,37.50815585449176,0,0.0,0.0,4.804982754631141,0,0.0,0.0,4.195624199572006,0,0.0,0.0,3.3571844387906635,0,0.0,0.0,4.105923174275824,0,0.0,0.0,35.56849332203403
2024-09-25,147.98,-0.031100635107706442,True,1.0,-0.031100635107706442,44.86281643171134,0,0.0,-0.0,19.26316836489613,0,0.0,-0.0,37.50815585449176,0,0.0,-0.0,4.804982754631141,0,0.0,-0.0,4.195624199572006,0,0.0,-0.0,3.3571844387906635,0,0.0,-0.0,4.105923174275824,0,0.0,-0.0,35.56849332203403
2024-09-26,155.55,0.05115556156237355,True,1.0,0.05115556156237355,47.15779899954521,0,0.0,0.0,19.26316836489613,0,0.0,0.0,37.50815585449176,0,0.0,0.0,4.804982754631141,0,0.0,0.0,4.195624199572006,0,0.0,0.0,3.3571844387906635,0,0.0,0.0,4.105923174275824,0,0.0,0.0,35.56849332203403
2024-09-27,157.64,0.013436194149790914,True,1.0,0.013436194149790914,47.79142034257991,0,0.0,0.0,19.26316836489613,0,0.0,0.0,37.50815585449176,0,0.0,0.0,4.804982754631141,0,0.0,0.0,4.195624199572006,0,0.0,0.0,3.3571844387906635,0,0.0,0.0,4.105923174275824,0,0.0,0.0,35.56849332203403
2024-09-28,156.75,-0.005645775183963364,True,1.0,-0.005645775183963364,47.52160072760341,0,0.0,-0.0,19.26316836489613,0,0.0,-0.0,37.50815585449176,0,0.0,-0.0,4.804982754631141,0,0.0,-0.0,4.195624199572006,0,0.0,-0.0,3.3571844387906635,0,0.0,-0.0,4.105923174275824,0,0.0,-0.0,35.56849332203403
2024-09-29,158.46,0.01090909090909098,True,1.0,0.01090909090909098,48.040018190086364,0,0.0,0.0,19.26316836489613,0,0.0,0.0,37.50815585449176,0,0.0,0.0,4.804982754631141,0,0.0,0.0,4.195624199572006,0,0.0,0.0,3.3571844387906635,0,0.0,0.0,4.105923174275824,0,0.0,0.0,35.56849332203403
