date,close,logp,bde,csw_excess,sadf,qadf,cadf,smt,hmm_state,hmm_bull_flag,bde_retro_flag,csw_retro_flag,sadf_retro_flag,smt_retro_flag,family_count_retro,consensus_retro,bde_online_flag,csw_online_flag,sadf_online_flag,smt_online_flag,family_count_online,consensus_online
2017-12-23,640.34,6.4619992852903945,7.944248983601493,-0.038997157792361126,,,,,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
2017-12-24,658.0,6.489204931325317,7.950760794387665,-0.786195897379129,,,,,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
2017-12-25,714.95,6.572212610178856,7.979730167629147,-0.5819571292554682,,,,,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
2017-12-26,750.0,6.620073206530356,8.017567818107361,-0.4666246821191766,,,,,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
2017-12-27,739.89,6.606501526500262,8.043301989452045,-0.5898145595134854,,,,,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
2017-12-28,707.89,6.562288714391343,8.04811632468719,-0.8170786447785439,,,,,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
2017-12-29,733.99,6.598495404543507,8.059347799886073,-0.7411227811714651,,,,,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
2017-12-30,681.06,6.523650407995303,8.041203033973943,-0.9403665136686754,,,,,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
2017-12-31,733.98,6.59848178028688,8.04297034750335,-0.8498049106161456,,,,,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
2018-01-01,754.99,6.626704504128196,8.048688195652293,-0.7998139724144344,,,,,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
2018-01-02,855.28,6.751428900705244,8.088306426544515,-0.15695601520264257,,,,,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
2018-01-03,934.03,6.839508557627356,8.14745767512815,0.08919695459450816,,,,,-1,0,0,1,0,0,1,0,1,1,0,0,2,1
2018-01-04,940.0,6.84587987526405,8.199031325302007,-0.19502637817213708,,,,,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
2018-01-05,959.3,6.866203851823902,8.247879748387122,-0.26762129330713025,,,,,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
2018-01-06,1004.11,6.911856856003212,8.301567521301056,-0.17692642767495048,,,,,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
2018-01-07,1123.09,7.023839094002718,8.378454313583031,0.22613893790654904,,,,,-1,0,0,1,0,0,1,0,1,1,0,0,2,1
2018-01-08,1133.18,7.032783118665422,8.44637483114119,0.09931703089617105,,,,,-1,0,0,1,0,0,1,0,1,1,0,0,2,1
2018-01-09,1291.0,7.1631723908466425,8.539476246976784,0.5615193161299668,,,,,-1,0,0,1,0,0,1,0,1,1,0,0,2,1
2018-01-10,1247.0,7.1284959456800365,8.60983267219155,0.23711539956598848,,,,,-1,0,0,1,0,0,1,0,1,1,0,0,2,1
2018-01-11,1138.93,7.03784450413981,8.645988482304121,-0.11089190502371693,,,,,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
2018-01-12,1253.87,7.133990047557377,8.699138632173941,0.09281671425021809,,,,,-1,0,0,1,0,0,1,0,1,1,0,0,2,1
2018-01-13,1388.02,7.23563355018484,8.768660076299598,0.30114196648107283,,,,,-1,0,0,1,0,0,1,0,1,1,0,0,2,1
2018-01-14,1347.0,7.205635176410364,8.820164496784386,0.1795160793015218,,,,,-1,0,0,1,0,0,1,0,1,1,0,0,2,1
2018-01-15,1271.0,7.147559271189454,8.848947132046073,-0.01670910555339722,,,,,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
2018-01-16,1000.0,6.907755278982137,8.814296213602912,1.4564881786567727,,,,,-1,0,0,1,0,0,1,0,1,1,0,0,2,1
2018-01-17,1000.0,6.907755278982137,8.776515976500615,0.2541464953033472,,,,,-1,0,0,1,0,0,1,0,1,1,0,0,2,1
2018-01-18,994.0,6.901737206656574,8.734332887299551,-0.149899523385717,,,,,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
2018-01-19,1032.5,6.939738324835187,8.698308706222003,-0.6905471587639584,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-20,1152.75,7.049905671086815,8.685179453402695,-0.4853779474570603,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-21,1049.0,6.955592608396297,8.645826097437714,-0.7256726194062186,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,993.0,6.900730664045173,8.590701255532293,-0.7153759274680163,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
